title,url,time_published,authors,summary,banner_image,source,category_within_source,source_domain,topics,overall_sentiment_score,overall_sentiment_label,ticker_sentiment
Microsoft  ( MSFT )  Might Release Three Windows 11 Updates in 2023,https://www.zacks.com/stock/news/2033874/microsoft-msft-might-release-three-windows-11-updates-in-2023,20221230T131300,['Zacks Investment Research'],Microsoft (MSFT) might release as many as three Windows 11 feature updates in 2023 through its new engineering effort called Moment.,https://staticx-tuner.zacks.com/images/articles/main/80/1717.jpg,Zacks Commentary,n/a,www.zacks.com,"[{'topic': 'Technology', 'relevance_score': '1.0'}]",0.068312,Neutral,"[{'ticker': 'MSFT', 'relevance_score': '0.778678', 'ticker_sentiment_score': '0.114504', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'ANET', 'relevance_score': '0.114409', 'ticker_sentiment_score': '-0.018435', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'ACLS', 'relevance_score': '0.170878', 'ticker_sentiment_score': '-0.023213', 'ticker_sentiment_label': 'Neutral'}]"
MSFT: 1 Tech Stock You Can Always Buy and Hold,https://stocknews.com/news/msft-yext-1-tech-stock-you-can-always-buy-and-hold/,20221230T150937,[],"Tech giant Microsoft Corporation ( MSFT ) continues to invest in strategic growth initiatives. Last month, a collaboration with chip juggernaut NVIDIA Corporation ( NVDA ) was announced, aimed at developing a 'massive' computer that can handle artificial intelligence computing work in the cloud.",https://stocknews.com/wp-content/uploads/2019/06/Microsoft-Sign.jpg,Stocknews.com,n/a,stocknews.com,"[{'topic': 'Financial Markets', 'relevance_score': '0.459462'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.98396'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",0.236979,Somewhat-Bullish,"[{'ticker': 'MSFT', 'relevance_score': '0.695257', 'ticker_sentiment_score': '0.376061', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'NVDA', 'relevance_score': '0.12546', 'ticker_sentiment_score': '0.154379', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'YEXT', 'relevance_score': '0.12546', 'ticker_sentiment_score': '0.11548', 'ticker_sentiment_label': 'Neutral'}]"
"Company News for Dec 30, 2022",https://www.zacks.com/stock/news/2033974/company-news-for-dec-30-2022,20221230T143000,['Zacks Investment Research'],Companies in The News Are: ...,https://staticx-tuner.zacks.com/images/articles/main/b9/441.jpg,Zacks Commentary,n/a,www.zacks.com,"[{'topic': 'Life Sciences', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.360215'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}]",0.348163,Somewhat-Bullish,"[{'ticker': 'MSFT', 'relevance_score': '0.682689', 'ticker_sentiment_score': '0.723198', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'TGTX', 'relevance_score': '0.682689', 'ticker_sentiment_score': '0.598169', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'TSLA', 'relevance_score': '0.682689', 'ticker_sentiment_score': '0.451553', 'ticker_sentiment_label': 'Bullish'}]"
"Raytheon Technologies, Estée Lauder And This Software Giant Are On CNBC's 'Final Trades' - Microsoft  ( NASDAQ:MSFT ) , Estee Lauder Cos  ( NYSE:EL ) ",https://www.benzinga.com/trading-ideas/long-ideas/22/12/30233874/raytheon-technologies-est-e-lauder-and-this-software-giant-are-on-cnbcs-final-trades,20221230T184556,['Priya Nigam'],"On CNBC's ""Halftime Report Final Trades,"" Jim Lebenthal of Cerity Partners said Raytheon Technologies Corporation RTX is a well-run industrial company. ""I like the valuation as well,"" he added. Don't forget to check out our premarket coverage here.",https://cdn.benzinga.com/files/images/story/2022/12/30/stock-exchange-g894ab76ae_1920.jpg?width=1200&height=800&fit=crop,Benzinga,Trading,www.benzinga.com,"[{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]",0.421127,Bullish,"[{'ticker': 'MSFT', 'relevance_score': '0.659096', 'ticker_sentiment_score': '0.798777', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'RTX', 'relevance_score': '0.659096', 'ticker_sentiment_score': '0.550732', 'ticker_sentiment_label': 'Bullish'}]"
Is Trending Stock Microsoft Corporation  ( MSFT )  a Buy Now?,https://www.zacks.com/stock/news/2033936/is-trending-stock-microsoft-corporation-msft-a-buy-now,20221230T140010,['Zacks Investment Research'],"Recently, Zacks.com users have been paying close attention to Microsoft (MSFT). This makes it worthwhile to examine what the stock has in store.",https://staticx-tuner.zacks.com/images/default_article_images/default134.jpg,Zacks Commentary,n/a,www.zacks.com,"[{'topic': 'Earnings', 'relevance_score': '0.999999'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.54554'}]",0.234993,Somewhat-Bullish,"[{'ticker': 'MSFT', 'relevance_score': '0.522096', 'ticker_sentiment_score': '0.118261', 'ticker_sentiment_label': 'Neutral'}]"
Want to Get Richer? 2 Top Stocks to Buy Now and Hold Forever.,https://www.fool.com/investing/2022/12/30/want-to-get-richer-2-top-stocks-to-buy-now-and-hol/,20221230T133000,['Justin Pope'],"Cash is king, and these companies wear the crown.",https://media.ycharts.com/charts/1748c1d7aecb004988b1191de037edcf.png,Motley Fool,n/a,www.fool.com,"[{'topic': 'Earnings', 'relevance_score': '0.995973'}, {'topic': 'Technology', 'relevance_score': '1.0'}]",0.242953,Somewhat-Bullish,"[{'ticker': 'MSFT', 'relevance_score': '0.486729', 'ticker_sentiment_score': '0.373842', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'GOOG', 'relevance_score': '0.388879', 'ticker_sentiment_score': '0.296554', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'META', 'relevance_score': '0.057907', 'ticker_sentiment_score': '0.036002', 'ticker_sentiment_label': 'Neutral'}]"
3 Top Gaming Stocks to Buy in January,https://www.fool.com/investing/2022/12/31/3-top-gaming-stocks-to-buy-in-january/,20221231T120000,['Dani Cook'],Gaming has proven recession-proof in the past. Is now the best time to add a gaming stock to your portfolio?,https://g.foolcdn.com/image/?url=https%3A%2F%2Fg.foolcdn.com%2Feditorial%2Fimages%2F714466%2Fbuffett-3-tmf-may-2015-shrunk.jpg&op=resize&h=340,Motley Fool,n/a,www.fool.com,"[{'topic': 'Financial Markets', 'relevance_score': '0.365926'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.266143'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",0.214294,Somewhat-Bullish,"[{'ticker': 'ATVI', 'relevance_score': '0.09239', 'ticker_sentiment_score': '0.056109', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MSFT', 'relevance_score': '0.438268', 'ticker_sentiment_score': '0.291013', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'NFLX', 'relevance_score': '0.046273', 'ticker_sentiment_score': '0.151357', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'SNEJF', 'relevance_score': '0.138198', 'ticker_sentiment_score': '0.091781', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVDA', 'relevance_score': '0.228287', 'ticker_sentiment_score': '0.253818', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'NTDOF', 'relevance_score': '0.438268', 'ticker_sentiment_score': '0.236135', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'FOREX:JPY', 'relevance_score': '0.138198', 'ticker_sentiment_score': '0.075243', 'ticker_sentiment_label': 'Neutral'}]"
"Microsoft Stock: Buy, Sell, or Hold in 2023?",https://www.fool.com/investing/2022/12/30/microsoft-stock-buy-sell-or-hold-in-2023/,20221230T103000,['Stefon Walters'],Microsoft's stock is poised for long-term growth.,https://media.ycharts.com/charts/40cb34721c810d14ea3f41d42b958ff9.png,Motley Fool,n/a,www.fool.com,"[{'topic': 'Earnings', 'relevance_score': '0.999499'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.796627'}]",0.116523,Neutral,"[{'ticker': 'MSFT', 'relevance_score': '0.384608', 'ticker_sentiment_score': '0.13829', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOG', 'relevance_score': '0.114137', 'ticker_sentiment_score': '0.127881', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CSCO', 'relevance_score': '0.057215', 'ticker_sentiment_score': '0.161984', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
3 Unstoppable Growth Stocks to Buy After a Stock Market Sell-Off,https://www.fool.com/investing/2022/12/31/3-unstoppable-growth-stocks-to-buy-if-theres-a-sto/,20221231T140000,['Dani Cook'],These companies have grown by triple-digit percentages over the last five years despite 2022's down market.,https://g.foolcdn.com/image/?url=https%3A%2F%2Fg.foolcdn.com%2Feditorial%2Fimages%2F714806%2Fgettyimages-1366255168.jpg&op=resize&h=340,Motley Fool,n/a,www.fool.com,"[{'topic': 'Financial Markets', 'relevance_score': '0.999864'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.972756'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",0.152163,Somewhat-Bullish,"[{'ticker': 'AMD', 'relevance_score': '0.223248', 'ticker_sentiment_score': '0.034875', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MSFT', 'relevance_score': '0.349945', 'ticker_sentiment_score': '0.119746', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.308614', 'ticker_sentiment_score': '-0.039157', 'ticker_sentiment_label': 'Neutral'}]"
"Despite a Tough Year, Cathie Wood Is Still Up Big on These 3 Stocks",https://www.fool.com/investing/2022/12/31/despite-a-tough-year-cathie-wood-is-still-up-big-o/,20221231T101000,['Bram Berkowitz'],"With so much focus on the tech and crypto sectors, Cathie Wood's Ark Invest has struggled this year.",https://g.foolcdn.com/image/?url=https%3A%2F%2Fg.foolcdn.com%2Feditorial%2Fimages%2F714466%2Fbuffett-3-tmf-may-2015-shrunk.jpg&op=resize&h=340,Motley Fool,n/a,www.fool.com,"[{'topic': 'Financial Markets', 'relevance_score': '0.999819'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.495866'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",0.278798,Somewhat-Bullish,"[{'ticker': 'MSFT', 'relevance_score': '0.342487', 'ticker_sentiment_score': '0.202045', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'NVDA', 'relevance_score': '0.395012', 'ticker_sentiment_score': '0.273058', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'PERI', 'relevance_score': '0.117486', 'ticker_sentiment_score': '0.033159', 'ticker_sentiment_label': 'Neutral'}]"
