Summary,Processed Summaries,Sentiment Scores,Compound Score
"Microsoft Corp  ( NASDAQ: MSFT )  acquired Minit, a leader in process mining technology.The financial terms of the transaction remain undisclosed.Minit enabled businesses to transform how they analyze, monitor, and optimize their processes. Minit's solutions have helped ...Full story available on","['microsoft', 'corp', 'nasdaq', 'msft', 'acquired', 'minit', 'leader', 'process', 'mining', 'financial', 'term', 'transaction', 'remain', 'enabled', 'business', 'transform', 'analyze', 'monitor', 'optimize', 'process', 'minit', 'solution', 'helped', 'full', 'story', 'available']","{'neg': 0.0, 'neu': 0.814, 'pos': 0.186, 'compound': 0.6705}",0.6705
"Four U.S. Senators sent a letter to the Federal Trade Commission citing concerns about Microsoft Corp's  ( NASDAQ: MSFT )  proposed acquisition of Activision Blizzard Inc  ( NASDAQ: ATVI ) , the Wall Street Journal reports.The Senators voiced concerns over undermining employees' calls for accountab","['four', 'senator', 'sent', 'letter', 'federal', 'trade', 'commission', 'citing', 'concern', 'microsoft', 'corp', 'nasdaq', 'msft', 'proposed', 'acquisition', 'activision', 'blizzard', 'inc', 'nasdaq', 'atvi', 'wall', 'street', 'journal', 'senator', 'voiced', 'concern', 'undermining', 'employee', 'call', 'accountab']","{'neg': 0.079, 'neu': 0.921, 'pos': 0.0, 'compound': -0.3612}",-0.3612
The video game publisher is rocked by scandals that make it a PR nightmare.,"['video', 'game', 'publisher', 'rocked', 'scandal', 'make', 'nightmare']","{'neg': 0.326, 'neu': 0.674, 'pos': 0.0, 'compound': -0.4404}",-0.4404
"Innofactor Plc Inside Information, on March 31, 2022, at 20:35 Finnish time","['innofactor', 'plc', 'inside', 'information', 'march', 'finnish', 'time']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
"The market is fragmented, and the degree of fragmentation will accelerate during the forecast period. Acronis International GmbH, Amazon.com Inc., Arcserve Inc., Asigra Inc., Broadcom Inc., Commvault Systems Inc., Dell Technologies Inc., Hewlett Packard Enterprise Co., International Business Machines Corp., Lumen Technologies Inc., Micro Focus International Plc, Microsoft Corp., NetApp Inc., Open Text Corp., Rubrik Inc., Quest Software Inc., Unitrends Inc., Veeam Software Group GmbH, Veritas Technologies LLC, and VMware Inc. are some of the major market participants. To make the most of the opportunities, market vendors should focus more on the growth prospects in the fast-growing segments, while maintaining their positions in the slow-growing segments.","['market', 'fragmented', 'degree', 'fragmentation', 'accelerate', 'forecast', 'period', 'acronis', 'international', 'gmbh', 'arcserve', 'asigra', 'broadcom', 'commvault', 'system', 'dell', 'technology', 'hewlett', 'packard', 'enterprise', 'international', 'business', 'machine', 'lumen', 'technology', 'micro', 'focus', 'international', 'plc', 'microsoft', 'netapp', 'open', 'text', 'rubrik', 'quest', 'software', 'unitrends', 'veeam', 'software', 'group', 'gmbh', 'veritas', 'technology', 'llc', 'vmware', 'major', 'market', 'participant', 'make', 'opportunity', 'market', 'vendor', 'focus', 'growth', 'prospect', 'segment', 'maintaining', 'position', 'segment']","{'neg': 0.0, 'neu': 0.881, 'pos': 0.119, 'compound': 0.765}",0.765
Amazon and Microsoft announced game development solutions.,"['amazon', 'microsoft', 'announced', 'game', 'development', 'solution']","{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.4588}",0.4588
"A group of prominent senators wrote a letter to the Federal Trade Commission on Thursday urging them to review Microsoft's $68.7 billion acquisition of Activision, citing lawsuits and media reports about workplace misconduct at the video game giant.","['group', 'prominent', 'senator', 'wrote', 'letter', 'federal', 'trade', 'commission', 'thursday', 'urging', 'review', 'microsoft', 'billion', 'acquisition', 'activision', 'citing', 'lawsuit', 'medium', 'report', 'workplace', 'misconduct', 'video', 'game', 'giant']","{'neg': 0.073, 'neu': 0.84, 'pos': 0.088, 'compound': 0.1027}",0.1027
"Microsoft Corporation's  ( NASDAQ:MSFT )  short percent of float has risen 16.67% since its last report. The company recently reported that it has 41.49 million shares sold short, which is 0.56% of all regular shares that are available for trading. Based on its trading volume, it would take traders ","['microsoft', 'corporation', 'nasdaq', 'msft', 'short', 'percent', 'float', 'risen', 'since', 'last', 'report', 'company', 'recently', 'reported', 'million', 'share', 'sold', 'short', 'regular', 'share', 'available', 'trading', 'based', 'trading', 'volume', 'would', 'take', 'trader']","{'neg': 0.0, 'neu': 0.855, 'pos': 0.145, 'compound': 0.5267}",0.5267
"Authorities are looking into at least one meeting between Bobby Kotick, the chief of the videogame firm, and one of three traders who made a timely options trade just before a merger announcement.","['authority', 'looking', 'least', 'one', 'meeting', 'bobby', 'kotick', 'chief', 'videogame', 'firm', 'one', 'three', 'trader', 'made', 'timely', 'option', 'trade', 'merger', 'announcement']","{'neg': 0.0, 'neu': 0.933, 'pos': 0.067, 'compound': 0.0772}",0.0772
"Datadog (DDOG) partners with Microsoft, allowing Microsoft Azure customers to leverage its monitoring and security capabilities to accelerate their cloud adoption.","['datadog', 'ddog', 'partner', 'microsoft', 'allowing', 'microsoft', 'azure', 'customer', 'leverage', 'monitoring', 'security', 'capability', 'accelerate', 'cloud', 'adoption']","{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.34}",0.34
